title,url,pubDate,source
MTN Nigeria Announces Exit of Non-Executive Director Mazen Mroue,https://news.google.com/rss/articles/CBMi2wFBVV95cUxPVVRiam1zYUVoNTRadklyUkVjZXNVa3p6VG1HcUxRUHhqYTZLRVVrNFdDREEyTXppRkptM2xNTm45cmtRZmdCb2JSOF9OOVR5Tm9ZampXQWlIUjYwczJiSVFaZElOM0Fmb1R6a3JXNGh0ZVNaZmx3d1VjUDVWZHRWRU8zQkZLNVItc3dqUy1jcHkyMkxzX01veVhYRjdXTTNjZnFSLWZsWngxWDJLb3pHdGMwXzFzc21ta0Vycmc3OTZ4V3QtUUVJUVBXUk1STkJPeWwzLTVJVUhBdU0?oc=5,"Mon, 06 Apr 2026 05:44:44 GMT",Proshare
MTN Nigeria Communications Plc FY 2025 Audited Financial Statement for the Period Ended 31st December 2025,https://news.google.com/rss/articles/CBMinAJBVV95cUxObjYycmM4dEJQOVpNMXZMcWJEV1RUaTJkLWc4bDdrTldDN3l1WWg5NUUwYmFYMERFb1hoTTJYd2lDY1d6VjdYSk5MSTY4VVQwdkNHUkF3UGYxRHBvcTB0XzJRNVRkNTBPdkozVjlucnNaU3p4bHdVNlBQTnkydXJRSm1TcXFYQXZNU0djUFR0TlRFbEhqYmlBQUJUNUd1UmNyVlF6MVBpb18tdFpkS09TUmFTbU5fOGozaXV3b2h1RHI5TE5IbXVGOXcxTmFHWjRZZlBVZUh0MUhESnVYaWZ2OTZvcDRDZjN6TnVnWUVSenFYMFFORVptVkFvM3FUc0pkRHk1MVgyd3RybHlyTWNoUE9qREhGS1dEZTRuVQ?oc=5,"Fri, 03 Apr 2026 04:52:52 GMT",Proshare
MTN Nigeria Announces Departure of Non-Executive Director Mazen Mroue,https://news.google.com/rss/articles/CBMirAFBVV95cUxNTzQtTUQ2MkxaQ2MyMFo1S0dHOFRQUzhPS0Fuc3VJbGJod1VBUjhqY1FBcnBTc0swYUZVVTdzZDJ2RFZKNzlSU0JEMWxJZWM2RjNEY21DWlFxZk9Pck9pbmtIMFEtQ2JPQXQ5UzhxUVU1SHZtSE5NWVNBVm12MW9ZZXd0akN2U1p4RHItRjBCQkc2bUYwT1lFWlFTd2E4QjYzS2Z0clFENFBiWHc1?oc=5,"Thu, 05 Mar 2026 08:00:00 GMT",TechAfrica News
MTN Nigeria Communications Plc (MTN.ng) 2025 Abridged Report,https://news.google.com/rss/articles/CBMiaEFVX3lxTE1jbUN0b2thdkdvczBVTWhuT0prV2gyTE55S3Rza25MZ2RSTXZHUnJjWWdKUUJSU0hxWXRhNVlhNjBBYmF1aTBZZHBKaVMzNUs0dTcwWlZIYnhJZ2d6V1pxdTJENkoweE9z?oc=5,"Fri, 27 Feb 2026 08:00:00 GMT",AfricanFinancials
MTN Nigeria returns to profitability with N1.11trn net profit,https://news.google.com/rss/articles/CBMilgFBVV95cUxPM25qcEI0Z1J3Z0gxOU1MMnFvNnlTajNYYU9pb2RsX3ltM1lJREJ0VWFrYy1qSXNQN3N0c01WVVcxRzJ3OU93M0lVbG1hdTJ3VVl4SU11b08tT1Mwb3o4UWxMc0NSeVVjQmFIaGpQM3IxMzE0ejNDQ053c2JQSGtuQk1xUDJqV1U5UTFKVkNQV3l3bEpzWkE?oc=5,"Fri, 27 Feb 2026 08:00:00 GMT",Realnews Magazine
